model_name,question_num,answer,confidence
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,B,4
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,1,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,3
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,2,A,4
openai/gpt-4o-mini,3,A,3
openai/gpt-4o-mini,3,B,3
openai/gpt-4o-mini,3,A,4
openai/gpt-4o-mini,3,A,3
openai/gpt-4o-mini,3,A,4
openai/gpt-4o-mini,3,B,3
openai/gpt-4o-mini,3,B,4
openai/gpt-4o-mini,3,B,4
openai/gpt-4o-mini,3,A,3
openai/gpt-4o-mini,3,B,2
